formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,CAST,FCC,25.0,72.2,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,,3.2,,534.0,,1.0,72.0
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,CAST,FCC,25.0,72.2,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,,3.1,,490.0,,6.0,75.0
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,CAST,FCC,25.0,72.2,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,,3.2,,622.0,,2.0,73.0
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,CAST,other,25.0,72.2,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,16.68,,3.2,,565.0,,4.0,
Co1 Cr1 Fe1 Mo0.2 Ni1,CAST,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,400.0,780.0,53.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,838.0,43.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,899.0,31.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,902.0,29.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,811.0,52.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,790.0,49.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,799.0,47.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,802.0,37.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,823.0,36.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,849.0,34.0,232.0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,FCC,25.0,0.0,23.81,23.81,0.0,23.81,0.0,23.81,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,,8.3,,,895.0,32.0,232.0
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,CAST,other,25.0,66.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.45,,1.6,,556.0,,3.0,
